item,ker,accu,prec,recall,f1 ,run_time,C,K
sleep,svm,0.3925,0.3810,0.9956,0.5511,372.4,40,80
sleep,svm,0.3838,0.3777,0.9971,0.5479,379.3,50,100
sleep,svm,0.3953,0.3820,0.9956,0.5522,389.5,60,120
sleep,svm,0.3898,0.3800,0.9971,0.5503,396.4,70,140
sleep,dts,0.4359,0.3953,0.9561,0.5593,65.3,40,80
sleep,dts,0.5241,0.4123,0.6369,0.5006,73.9,50,100
sleep,dts,0.4901,0.3923,0.6589,0.4918,84.1,60,120
sleep,dts,0.4726,0.4061,0.8829,0.5563,90.6,70,140
sleep,rf,0.4682,0.3994,0.8346,0.5403,848.4,40,80
sleep,rf,0.4660,0.4068,0.9297,0.5660,995.1,50,100
sleep,rf,0.4748,0.4116,0.9370,0.5719,1237.4,60,120
sleep,rf,0.5027,0.4240,0.9151,0.5795,1094.7,70,140
out,svm,0.7297,0.3696,0.0353,0.0645,493.2,40,80
out,svm,0.7314,0.0000,0.0000,0.0000,609.9,50,100
out,svm,0.7292,0.3243,0.0249,0.0463,631.8,60,120
out,svm,0.7325,0.3871,0.0249,0.0469,632.6,70,140
out,dts,0.5970,0.3016,0.4012,0.3443,67.7,40,80
out,dts,0.6135,0.3108,0.3825,0.3430,78.6,50,100
out,dts,0.6957,0.3093,0.1247,0.1778,88.7,60,120
out,dts,0.5636,0.3063,0.5177,0.3849,95.1,70,140
out,rf,0.7023,0.3063,0.1019,0.1529,902.4,40,80
out,rf,0.7050,0.3314,0.1164,0.1723,1110.4,50,100
out,rf,0.7056,0.3557,0.1435,0.2044,1316.4,60,120
out,rf,0.7100,0.3310,0.0977,0.1509,1195.9,70,140
meal,svm,0.9545,0.0000,0.0000,0.0000,727.7,40,80
meal,dts,0.8712,0.0529,0.1084,0.0711,70.0,40,80
meal,dts,0.3525,0.0485,0.7108,0.0908,82.6,50,100
meal,dts,0.4808,0.0453,0.5181,0.0833,256.3,60,120
meal,dts,0.3388,0.0416,0.6145,0.0780,290.5,70,140

sleep,dts,0.4940,0.3919,0.6369,0.4852,647.7,10,20
sleep,dts,0.5291,0.4167,0.6442,0.5060,524.2,20,40
sleep,dts,0.4929,0.3832,0.5813,0.4619,617.5,30,60
sleep,dts,0.5417,0.4328,0.7218,0.5412,851.0,40,80
sleep,dts,0.5066,0.3923,0.5783,0.4675,972.6,50,100
sleep,dts,0.5038,0.3976,0.6310,0.4878,762.4,60,120
sleep,dts,0.4995,0.4037,0.7057,0.5136,972.6,70,140
sleep,dts,0.5630,0.4362,0.5710,0.4946,925.7,80,160
sleep,dts,0.4759,0.3938,0.7408,0.5142,1002.0,90,180
sleep,dts,0.5554,0.4355,0.6325,0.5158,1028.7,100,200
out,dts,0.5746,0.2878,0.4158,0.3401,462.5,10,20
out,dts,0.5291,0.2886,0.5364,0.3753,487.7,20,40
out,dts,0.4989,0.2936,0.6403,0.4026,697.2,30,60
out,dts,0.4073,0.2774,0.7775,0.4090,776.7,40,80
out,dts,0.5439,0.2814,0.4699,0.3520,675.2,50,100
out,dts,0.4890,0.2629,0.5198,0.3492,918.2,60,120
out,dts,0.5082,0.2811,0.5551,0.3732,743.1,70,140
out,dts,0.5713,0.2841,0.4116,0.3362,767.0,80,160
out,dts,0.4857,0.2822,0.6154,0.3869,953.0,90,180
out,dts,0.5060,0.2742,0.5301,0.3614,949.9,100,200
meal,dts,0.4660,0.0383,0.4458,0.0706,247.4,10,20
meal,dts,0.7423,0.0292,0.1446,0.0486,526.9,20,40
meal,dts,0.8350,0.0261,0.0723,0.0383,500.4,30,60
meal,dts,0.3723,0.0422,0.5904,0.0788,660.6,40,80
meal,dts,0.5976,0.0435,0.3735,0.0779,622.4,50,100
meal,dts,0.8887,0.0833,0.1446,0.1057,755.0,60,120
meal,dts,0.5417,0.0491,0.4940,0.0893,802.6,70,140
sleep,dts,0.5872,0.4401,0.3763,0.4057,1328.5,20,40
sleep,dts,0.5411,0.3981,0.4407,0.4183,213.0,10,20
sleep,dts,0.5746,0.4221,0.3690,0.3937,375.6,20,40
sleep,dts,0.5559,0.3974,0.3602,0.3779,948.4,30,60
sleep,dts,0.5839,0.4349,0.3719,0.4009,968.5,40,80
sleep,dts,0.5630,0.4027,0.3455,0.3719,1041.6,50,100
sleep,dts,0.5554,0.3987,0.3690,0.3833,1012.9,60,120
sleep,dts,0.5724,0.4185,0.3646,0.3897,1039.2,70,140
sleep,dts,0.5713,0.4136,0.3470,0.3774,985.6,80,160
sleep,dts,0.5636,0.4054,0.3543,0.3781,986.4,90,180
sleep,dts,0.5839,0.4362,0.3807,0.4066,1029.0,100,200
out,dts,0.5779,0.2933,0.4262,0.3475,275.6,10,20
out,dts,0.5625,0.2802,0.4200,0.3361,658.6,20,40
out,dts,0.6080,0.3050,0.3805,0.3386,805.5,30,60
out,dts,0.6140,0.3081,0.3721,0.3371,843.5,40,80
