item,accu,prec,recall,f1 ,run_time,C,K
sleep,0.4194,0.3898,0.9736,0.5567,92.1,10,20
sleep,0.4183,0.3897,0.9780,0.5574,168.8,20,40
sleep,0.4271,0.3846,0.8829,0.5358,238.5,30,60
sleep,0.4309,0.3902,0.9239,0.5487,272.7,40,80
sleep,0.4057,0.3835,0.9663,0.5491,324.8,50,100
sleep,0.4271,0.3887,0.9253,0.5474,363.6,60,120
sleep,0.4150,0.3869,0.9619,0.5519,381.6,70,140
sleep,0.4309,0.3825,0.8463,0.5269,425.8,80,160
sleep,0.4172,0.3897,0.9824,0.5580,444.2,90,180
sleep,0.4622,0.3830,0.7145,0.4987,295.4,100,200
out,0.6382,0.2812,0.2391,0.2584,106.4,10,20
out,0.6837,0.2576,0.1060,0.1502,192.8,20,40
out,0.7018,0.2914,0.0915,0.1392,209.7,30,60
out,0.6760,0.2800,0.1455,0.1915,218.0,40,80
out,0.6930,0.2818,0.1060,0.1541,252.9,50,100
out,0.6431,0.2049,0.1227,0.1534,302.5,60,120
out,0.5576,0.2508,0.3410,0.2890,283.2,70,140
out,0.6562,0.2214,0.1206,0.1561,312.2,80,160
out,0.6782,0.2402,0.1019,0.1431,323.2,90,180
out,0.7072,0.2773,0.0686,0.1100,338.5,100,200
meal,0.9545,0.0000,0.0000,0.0000,84.4,10,20
meal,0.4923,0.0343,0.3735,0.0628,145.6,20,40
meal,0.5943,0.0481,0.4217,0.0864,164.8,30,60
meal,0.6738,0.0328,0.2169,0.0571,168.8,40,80
meal,0.9545,0.0000,0.0000,0.0000,189.0,50,100
meal,0.9545,0.0000,0.0000,0.0000,217.9,60,120
meal,0.7763,0.0344,0.1446,0.0556,202.6,70,140
meal,0.9545,0.0000,0.0000,0.0000,850.4,80,160
meal,0.9523,0.0000,0.0000,0.0000,1019.1,90,180
meal,0.3586,0.0444,0.6386,0.0831,640.8,100,200
other,0.5493,0.3438,0.3307,0.3371,107.0,10,20
other,0.5395,0.3567,0.4098,0.3814,186.0,20,40
other,0.5943,0.4018,0.3497,0.3739,202.1,30,60
other,0.6217,0.4162,0.2278,0.2945,217.9,40,80
other,0.5773,0.3417,0.2373,0.2801,245.9,50,100
other,0.6327,0.4167,0.1503,0.2209,285.0,60,120
other,0.6316,0.2872,0.0427,0.0744,269.9,70,140
other,0.6530,0.4982,0.2215,0.3067,308.5,80,160
other,0.6404,0.4241,0.1060,0.1696,300.6,90,180
other,0.6217,0.4203,0.2421,0.3072,320.7,100,200
