item,ker,accu,prec,recall,f1 ,run_time,C,K
sleep,dts,0.4183,0.3876,0.9546,0.5514,484.6,10,20
sleep,dts,0.3898,0.3665,0.8638,0.5146,466.6,20,40
sleep,dts,0.4507,0.3994,0.9268,0.5582,690.3,30,60
sleep,dts,0.4123,0.3879,0.9854,0.5567,845.3,40,80
sleep,dts,0.3942,0.3772,0.9488,0.5398,959.2,50,100
sleep,dts,0.4337,0.3914,0.9239,0.5499,885.6,60,120
sleep,dts,0.3958,0.3816,0.9883,0.5506,952.7,70,140
sleep,dts,0.4391,0.3844,0.8272,0.5248,907.8,80,160
sleep,dts,0.4046,0.3746,0.8814,0.5258,1008.7,90,180
sleep,dts,0.4068,0.3822,0.9473,0.5446,1096.5,100,200
out,dts,0.7292,0.2759,0.0166,0.0314,507.2,10,20
out,dts,0.6793,0.2679,0.1247,0.1702,663.3,20,40
out,dts,0.7138,0.2644,0.0478,0.0810,890.5,30,60
out,dts,0.7061,0.3179,0.0998,0.1519,905.4,40,80
out,dts,0.6617,0.2687,0.1642,0.2039,739.1,50,100
out,dts,0.7138,0.3119,0.0707,0.1153,985.3,60,120
out,dts,0.6760,0.2609,0.1247,0.1688,935.6,70,140
out,dts,0.7144,0.3214,0.0748,0.1214,934.2,80,160
out,dts,0.6776,0.2601,0.1206,0.1648,1103.9,90,180
out,dts,0.6886,0.2570,0.0956,0.1394,1030.9,100,200
meal,dts,0.9545,0.0000,0.0000,0.0000,267.0,10,20
meal,dts,0.6562,0.0556,0.4096,0.0978,335.4,20,40
meal,dts,0.9501,0.1000,0.0120,0.0215,438.7,30,60
meal,dts,0.9545,0.0000,0.0000,0.0000,556.5,40,80
meal,dts,0.9545,0.0000,0.0000,0.0000,561.3,50,100
meal,dts,0.9545,0.0000,0.0000,0.0000,593.7,60,120
meal,dts,0.9545,0.0000,0.0000,0.0000,642.6,70,140
meal,dts,0.9545,0.0000,0.0000,0.0000,728.2,80,160
meal,dts,0.9545,0.0000,0.0000,0.0000,707.2,90,180
meal,dts,0.9545,0.0000,0.0000,0.0000,730.0,100,200
other,dts,0.6212,0.1446,0.0190,0.0336,358.0,10,20
other,dts,0.6321,0.2468,0.0301,0.0536,563.2,20,40
other,dts,0.6212,0.1828,0.0269,0.0469,713.3,30,60
other,dts,0.6102,0.2030,0.0427,0.0706,654.9,40,80
other,dts,0.6442,0.0952,0.0032,0.0061,626.7,50,100
other,dts,0.6310,0.2192,0.0253,0.0454,758.8,60,120
other,dts,0.4561,0.3578,0.7168,0.4773,789.6,70,140
other,dts,0.6414,0.1333,0.0063,0.0121,851.6,80,160
other,dts,0.6546,0.6000,0.0095,0.0187,861.1,90,180
other,dts,0.6431,0.2889,0.0206,0.0384,915.2,100,200
