item,ker,accu,prec,recall,f1 ,run_time,C,K
sleep,dts,0.5417,0.4035,0.4685,0.4336,66.9,10,20
sleep,dts,0.5280,0.4180,0.6647,0.5133,95.3,20,40
sleep,dts,0.4523,0.3786,0.7218,0.4967,139.7,30,60
sleep,dts,0.4874,0.3918,0.6676,0.4938,172.1,40,80
sleep,dts,0.4529,0.4025,0.9517,0.5657,217.4,50,100
sleep,dts,0.4819,0.3892,0.6735,0.4933,245.7,60,120
sleep,dts,0.4874,0.4013,0.7496,0.5227,285.0,70,140
sleep,dts,0.5060,0.4062,0.6911,0.5117,316.7,80,160
sleep,dts,0.4627,0.3721,0.6325,0.4685,353.8,90,180
sleep,dts,0.4775,0.4047,0.8389,0.5460,386.0,100,200
out,dts,0.6842,0.2889,0.1351,0.1841,66.9,10,20
out,dts,0.4572,0.2684,0.6133,0.3734,100.2,20,40
out,dts,0.7023,0.3640,0.1726,0.2341,144.5,30,60
out,dts,0.5691,0.2471,0.3098,0.2749,170.5,40,80
out,dts,0.6804,0.3139,0.1788,0.2278,205.7,50,100
out,dts,0.7039,0.3628,0.1622,0.2241,244.4,60,120
out,dts,0.5965,0.3035,0.4096,0.3487,283.3,70,140
out,dts,0.6656,0.3392,0.2827,0.3084,306.0,80,160
out,dts,0.5916,0.2898,0.3784,0.3282,345.3,90,180
out,dts,0.5905,0.3003,0.4158,0.3487,371.7,100,200
meal,dts,0.3679,0.0458,0.6506,0.0856,64.9,10,20
meal,dts,0.8054,0.0556,0.2048,0.0874,99.2,20,40
meal,dts,0.8690,0.0517,0.1084,0.0700,137.9,30,60
meal,dts,0.4150,0.0478,0.6265,0.0888,176.7,40,80
meal,dts,0.9518,0.0000,0.0000,0.0000,217.3,50,100
meal,dts,0.4167,0.0463,0.6024,0.0859,85.5,60,120
meal,dts,0.3235,0.0414,0.6265,0.0777,98.0,70,140
meal,dts,0.9518,0.1429,0.0120,0.0222,316.3,80,160
meal,dts,0.9298,0.0755,0.0482,0.0588,357.1,90,180
meal,dts,0.7697,0.0358,0.1566,0.0583,381.3,100,200
other,dts,0.4956,0.3435,0.5000,0.4072,64.2,10,20
other,dts,0.5351,0.3188,0.3006,0.3094,95.8,20,40
other,dts,0.5652,0.3728,0.3734,0.3731,137.1,30,60
other,dts,0.5016,0.3525,0.5237,0.4214,165.7,40,80
other,dts,0.5970,0.3703,0.2326,0.2857,209.2,50,100
other,dts,0.4545,0.3333,0.5744,0.4218,239.5,60,120
other,dts,0.6524,0.4848,0.0506,0.0917,272.6,70,140
other,dts,0.5614,0.3731,0.3908,0.3818,305.5,80,160
other,dts,0.6535,0.5000,0.1329,0.2100,328.9,90,180
other,dts,0.5784,0.3864,0.3687,0.3773,361.2,100,200
