behav,kernel,accu,prec,recall,f1,run_time
sleep,svm,0.3745,0.3745,1.0000,0.5449,51.6
sleep,dts,0.4150,0.3898,0.9941,0.5600,18.2
sleep,rf,0.4331,0.3951,0.9678,0.5611,927.3
out,svm,0.7412,0.9091,0.0208,0.0407,71.2
out,dts,0.6749,0.2607,0.1268,0.1706,19.1
out,rf,0.7111,0.3017,0.0728,0.1173,1001.2
meal,svm,0.9545,0.0000,0.0000,0.0000,72.2
meal,dts,0.9545,0.0000,0.0000,0.0000,15.9
meal,rf,0.9545,0.0000,0.0000,0.0000,778.4
other,svm,0.6535,0.0000,0.0000,0.0000,69.4
other,dts,0.6360,0.2949,0.0364,0.0648,20.2
other,rf,0.6502,0.2500,0.0047,0.0093,1017.3
