,accu,prec,recall,f1 
Power1,0.7000,0.8333,0.5000,0.6250
Power2,0.7500,0.6923,0.9000,0.7826
Power3,0.6750,0.8182,0.4500,0.5806
Power5,0.6750,0.8182,0.4500,0.5806
Power6,0.6750,0.6061,1.0000,0.7547
Power7,0.7500,0.8571,0.6000,0.7059
Power8,0.8000,0.7143,1.0000,0.8333
Power9,0.5750,0.5517,0.8000,0.6531
Power10,0.7500,0.7273,0.8000,0.7619
Power11,0.7000,0.6333,0.9500,0.7600
Power12,0.6250,0.7778,0.3500,0.4828
Power13,0.5750,0.6000,0.4500,0.5143
Power14,0.8500,0.8182,0.9000,0.8571
Power15,0.7250,0.8000,0.6000,0.6857
Power16,0.6500,0.6875,0.5500,0.6111
Power17,0.6500,0.7143,0.5000,0.5882
Power18,0.5250,0.5161,0.8000,0.6275
Power19,0.7000,0.6333,0.9500,0.7600
Power1,0.9750,0.9524,1.0000,0.9756
Power2,0.6750,0.6061,1.0000,0.7547
Power3,0.6750,0.6129,0.9500,0.7451
Power1,0.8500,0.8182,0.9000,0.8571
Power1,0.8750,0.8571,0.9000,0.8780
Power1,1.0000,1.0000,1.0000,1.0000
WormsTwoClass,0.5844,0.6429,0.6136,0.6279
WormsTwoClass,0.5455,0.5714,0.8182,0.6729
